Datetime,Tweet Id,Username,Location,Language,Hashtags,Text
2023-04-12 03:53:28+00:00,1645998541511471104,arshxykzra,Alam Raya,in,,b'@anastasiartn @astigmatisma @joombajookiba Terus yang bagus gimana kak? Kita gabisa kontrol semua manusia. Membiarkan seks bebas dimana mana ?'
2023-04-12 02:12:15+00:00,1645973072913268737,simp4natt,,in,,"b'@ujung_senja_ @convomfs steatment anda ngga rasional, dua-dua hal itu salah, seakan disini anda membela dan menormalisasikan gay. kenapa harus ada seks bebas yang menjadi tolak ukur-nya?? padahal udah jelas gay juga udah salah banget, apalagi konteks selanjut-nya anda berbicara tentang taat kepada tuhan'"
2023-04-12 00:31:22+00:00,1645947682123563008,adrachmal,,in,,"b'udah gw blg sex ed buat anak anak di indonesia tu penting. even wkt itu orang kantor nganggep skripsi gw jorok krn bahas seks bebas, well i give opportunity to women to have their rights \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f, ngehindarin aborsi, ngehindarin dilecehkan. look at this now, isi skripsi gw bener aja\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'"
2023-04-11 23:57:00+00:00,1645939034362114048,marlinaiar,"Jakarta, Indonesia",in,,"b'@inyongmanise Medsos penuh dengan pornografi yang mendorong seks bebas, remaja sekarang sepertinya jarang yang masih perawan. Siapa bertanggungjawab??'"
2023-04-11 23:12:00+00:00,1645927709367992321,7eliazaar,Bali,in,,"b'@MellisA_An Apakah aakan banding putusan pengadilan atas AG? 3,5 tahun utk remaja 15 thn provokator pembohong dan penyuka seks bebas terlalu pendek'"
2023-04-11 22:17:28+00:00,1645913984732651522,damarjati_dimas,"Zittau, Germany",in,,"b'@AnaknyaEinstein @ardianpancaa @kompascom Itu pentingnya edukasi seks agar tidak pergaulan bebas. Kalo pun udah terlanjur bebas, setidaknya jgn bohong dilecehkan. Pada dasarnya tu cewek memang demen aja, bakat2 jadi jablay. Gara2 sangenya tu cewek, anak orang dibuat koma loh\xe2\x80\xa6'"
2023-04-11 21:23:35+00:00,1645900427203055617,KtkungTmnSndiri,Kediri,in,,"b'@tanyakanrl Orang\xc2\xb2 pd fokus usia AG yg masih di bawah umur. Kalo suka sama suka ya artinya gak ada korban. Yg ada keduanya pelaku seks bebas.\nTemen gw aja ada yg lulus SMP langsung nikah. Gak ada yg teriak\xc2\xb2 pedofil. Di desa\xc2\xb2 masih banyak yg nikah muda, di bawah umur 20.'"
2023-04-11 21:22:35+00:00,1645900174181675008,laras_Nrahmah,Bumi Allah,in,,"b'Udah jgn menghakimi AG yg 15th udah seks bebas, harusnya dipertanyakan itu yg cwo kenapa berkali2 seks dgn anak dibawah umur, UU ga mengenal istilah suka sama suka lho, yg cwe tetep korban walaupun dah dinyatakan bersalah turut serta rencanain penganiayaan.'"
2023-04-11 21:15:57+00:00,1645898503904968704,zeeravb,,in,,"b'@noonanyajisung @divinenights @KzizC @viviznants @sosmedkeras Kan udh jls s dm pelaku pantes d hukum, kasus pedofil ag harusnya d dalemin dgn jelas karna pasti bnyak pelaku selain s dm &amp; otomatis fact yg akan muncul pasti bukan grooming doang pasti ada AWAL &amp; fact lain ag bisa seksbebas cth : pemerkosaan, efek pornografi, hasutan tman, dll.'"
2023-04-11 21:03:17+00:00,1645895315944267776,gadismungil__,"Yogyakarta, Indonesia",in,,b'@kinimaroe Seks gaya bebas?'
